sloan_ra sloan_dec sloan dr7_ra dr7_dec dr7
190.6518100 +45.0103411 Sloan 190.65181 +45.01034 DR7
208.6473200 +42.9320600 Sloan 208.64732 +42.93206 DR7
121.6749900 +26.4594639 Sloan 121.67499 +26.45946 DR7
152.6070100 +43.5961519 Sloan 152.60701 +43.59615 DR7
116.6850100 +22.4108419 Sloan 116.68501 +22.41084 DR7
236.8524300 +33.4139869 Sloan 236.85243 +33.41399 DR7
222.6467300 +39.6359031 Sloan 222.64673 +39.63590 DR7
220.5559800 +40.7394200 Sloan 220.55598 +40.73942 DR7
243.5556500 +29.7669619 Sloan 243.55565 +29.76696 DR7
151.8063400 +43.2542000 Sloan 151.80634 +43.25420 DR7
217.8135600 +41.9708300 Sloan 217.81356 +41.97083 DR7
187.6583500 +47.3836519 Sloan 187.65835 +47.38365 DR7
213.6842000 +44.9008889 Sloan 213.68420 +44.90089 DR7
129.9150500 +33.7286400 Sloan 129.91505 +33.72864 DR7
133.7915300 +37.6077189 Sloan 133.79153 +37.60772 DR7
203.9378300 +47.4826700 Sloan 203.93783 +47.48267 DR7
170.7404000 +49.0180039 Sloan 170.74040 +49.01800 DR7
170.7683000 +49.8144339 Sloan 170.76830 +49.81443 DR7
161.5553100 +48.8043681 Sloan 161.55531 +48.80437 DR7
133.9623800 +39.9357869 Sloan 133.96238 +39.93579 DR7
128.4362900 +34.5604611 Sloan 128.43629 +34.56046 DR7
192.0637000 +52.1548731 Sloan 192.06370 +52.15487 DR7
154.7261800 +49.5334061 Sloan 154.72618 +49.53341 DR7
167.3411900 +50.0177189 Sloan 167.34119 +50.01772 DR7
198.9473100 +52.5521769 Sloan 198.94731 +52.55218 DR7
204.0447500 +50.4153800 Sloan 204.04475 +50.41538 DR7
248.3737700 +30.8787250 Sloan 248.37377 +30.87872 DR7
142.1897200 +46.0450819 Sloan 142.18972 +46.04508 DR7
127.8352000 +38.5144889 Sloan 127.83520 +38.51449 DR7
136.7345400 +43.0028069 Sloan 136.73454 +43.00281 DR7
131.3073600 +39.9995239 Sloan 131.30736 +39.99952 DR7
142.5415700 +46.4203589 Sloan 142.54157 +46.42036 DR7
132.4230500 +41.4491619 Sloan 132.42305 +41.44916 DR7
120.3716500 +32.5739281 Sloan 120.37165 +32.57393 DR7
157.6465800 +51.2942339 Sloan 157.64658 +51.29423 DR7
168.2496000 +53.6656469 Sloan 168.24960 +53.66565 DR7
161.4197800 +52.3781669 Sloan 161.41978 +52.37817 DR7
170.1756100 +53.7923939 Sloan 170.17561 +53.79239 DR7
197.1406500 +55.2581450 Sloan 197.14065 +55.25814 DR7
226.5542200 +46.1902511 Sloan 226.55422 +46.19025 DR7
241.4815200 +38.0265281 Sloan 241.48152 +38.02653 DR7
243.3055000 +36.6438719 Sloan 243.30550 +36.64387 DR7
139.6810100 +46.9854850 Sloan 139.68101 +46.98548 DR7
