INDEX,NAME,GLON,GLAT,RA,DEC,POS_ERR,SNR,PIPELINE,PIPE_DET,PCCS2,PSZ,IR_FLAG,Q_NEURAL,Y5R500,Y5R500_ERR,VALIDATION,REDSHIFT_ID,REDSHIFT,MSZ,MSZ_ERR_UP,MSZ_ERR_LOW,MCXC,REDMAPPER,ACT,SPT,WISE_FLAG,AMI_EVIDENCE,COSMO,COMMENT
863,PSZ2 G186.50-13.45,186.5082461,-13.45395512,77.95232903,16.20588374,4.719408512,5.219161987,3,11,FALSE,-1,0,0.994225025,2.796402454,0.988623261,-1,,-1,0,0,0,,,,,-1,-1000,FALSE,
864,PSZ2 G186.61+62.94,186.6129395,62.94481303,162.6645635,35.8428925,1.6224612,5.292299747,2,11,FALSE,-1,0,0.988417029,0.814872563,0.166250721,24,RMJ105038.6+354912.4,0.509365439,5.680197716,0.63252306,0.672068596,,RMJ105038.6+354912.4,,,3,-1000,FALSE,
866,PSZ2 G186.99+38.65,186.9901022,38.65841102,132.5385296,36.07655917,2.077045679,7.220645905,3,111,FALSE,631,0,0.929367006,3.082039118,0.848283291,20,RXC J0850.2+3603,0.377999991,6.840517521,0.496559143,0.535158157,J0850.2+3603,RMJ085007.9+360413.7,,,3,4.676723003,TRUE,
867,PSZ2 G187.53+21.92,187.5332256,21.923607,113.0646057,31.62610023,2.053838015,8.143959999,2,111,FALSE,632,0,0.937569976,2.911697149,0.828674674,20,RXC J0732.3+3137,0.171000004,5.165304661,0.399531364,0.381496429,J0732.3+3137,RMJ073220.3+314120.7,,,-10,12.52283764,TRUE,
868,PSZ2 G187.74+20.66,187.7403747,20.6655256,111.7531214,31.02200308,2.428555489,5.386100769,1,111,FALSE,633,0,0.974340975,3.163131714,1.261636257,20,WHL J111.708+31.03,0.192900002,4.290578842,0.485226631,0.507403612,,,,,-10,-100,FALSE,
869,PSZ2 G188.33-34.98,188.3396619,-34.98378533,61.07485076,2.408174792,2.428882837,6.095408916,1,111,FALSE,634,0,0.99951297,1.935309052,0.57829231,20,ZwCl 0401.8+0219,-1,0,0,0,,,,,-2,-1000,FALSE,
871,PSZ2 G188.57-68.86,188.5786075,-68.861444,32.95653712,-17.03482031,3.494760513,4.780783653,3,111,FALSE,636,0,0.706538975,1.142166138,0.389909029,11,ACO  2985,0.173999995,3.339818001,0.410516739,0.450020313,,,,,-10,-1000,FALSE,
872,PSZ2 G189.23+20.55,189.2341339,20.55993241,112.1960895,29.67300809,5.726047039,5.124121189,2,111,FALSE,637,0,0.899089992,2.664472342,0.962253273,21,RXC J0728.9+2935,0.397599995,5.462186813,0.667627335,0.817141533,J0728.9+2935,,,,3,1.132009864,FALSE,
873,PSZ2 G189.31+59.24,189.3178098,59.24845197,157.9544467,35.04060181,2.428664684,6.721164703,1,111,FALSE,638,0,0.969377995,1.93355763,0.551066875,20,RXC J1031.7+3502,0.1259,3.24159193,0.304120064,0.318993807,J1031.7+3502,RMJ103144.3+350229.0,,,-10,-100,TRUE,
874,PSZ2 G189.53-25.10,189.5355344,-25.10678904,69.76810988,7.269589277,2.428860188,6.508213997,1,111,FALSE,640,0,0.999321997,1.529516697,0.38141039,21,RXC J0439.0+0715,0.245000005,6.037395954,0.62370348,0.661379337,J0439.0+0715,,,,-10,-1000,FALSE,
